frequency,raw
1267.78,0.8780000000000001
1280.45,0.9259999999999999
1293.26,0.986
1306.19,1.03
1319.25,1.078
1332.45,1.1440000000000001
1345.77,1.2200000000000002
1359.23,1.2820000000000003
1372.82,1.35
1386.55,1.43
1400.41,1.542
1414.42,1.61
1428.56,1.6900000000000002
1442.85,1.8199999999999998
1457.28,1.966
1471.85,2.0700000000000003
1486.57,2.152
1501.43,2.2439999999999998
1516.45,2.362
1531.61,2.4539999999999997
1546.93,2.556
1562.4,2.65
1578.02,2.784
1593.8,2.9219999999999997
1609.74,3.058
1625.84,3.168
1642.1,3.29
1658.52,3.44
1675.1,3.604
1691.85,3.7340000000000004
1708.77,3.8720000000000008
1725.86,3.9939999999999998
1743.12,4.1240000000000006
1760.55,4.266
1778.15,4.4079999999999995
1795.94,4.529999999999999
1813.9,4.6659999999999995
1832.03,4.776
1850.36,4.902
1868.86,5.024
1887.55,5.152
1906.42,5.276000000000001
1925.49,5.4079999999999995
1944.74,5.51
1964.19,5.651999999999999
1983.83,5.7700000000000005
2003.67,5.912000000000001
2023.71,6.0600000000000005
2043.94,6.21
2064.38,6.372000000000001
2085.03,6.536
2105.88,6.678
2126.94,6.828
2148.2,6.973999999999999
2169.69,7.114
2191.38,7.242
2213.3,7.382000000000001
2235.43,7.504
2257.78,7.647999999999999
2280.36,7.790000000000001
2303.17,7.952
2326.2,8.076
2349.46,8.218
2372.95,8.334
2396.68,8.458
2420.65,8.588
2444.86,8.67
2469.31,8.746
2494.0,8.854000000000001
2518.94,8.98
2544.13,9.054000000000002
2569.57,9.118
2595.27,9.178
2621.22,9.192
2647.43,9.241999999999999
2673.9,9.298000000000002
2700.64,9.408
2727.65,9.52
2754.93,9.642
2782.48,9.714
2810.3,9.778
2838.4,9.81
2866.79,9.852
2895.46,9.873999999999999
2924.41,9.882000000000001
2953.65,9.906
2983.19,9.936
3013.02,9.975999999999999
3043.15,9.986
3073.58,10.010000000000002
3104.32,10.075999999999999
3135.36,10.104000000000001
3166.72,10.12
3198.38,10.146
3230.37,10.138
3262.67,10.129999999999999
3295.3,10.154
3328.25,10.146
3361.53,10.096
3395.15,10.065999999999999
3429.1,10.034000000000002
3463.39,9.982000000000001
3498.03,9.907999999999998
3533.01,9.852
3568.34,9.774
3604.02,9.666
3640.06,9.542
3676.46,9.408
3713.22,9.264
3750.36,9.06
3787.86,8.864
3825.74,8.693999999999999
3864.0,8.516
3902.64,8.342
3941.66,8.19
3981.08,8.010000000000002
4020.89,7.866
4061.1,7.75
4101.71,7.675999999999999
4142.73,7.574000000000001
4184.15,7.458
4226.0,7.358
4268.26,7.2620000000000005
4310.94,7.206
4354.05,7.208
4397.59,7.208
4441.56,7.2
4485.98,7.274000000000001
4530.84,7.367999999999999
4576.15,7.428
4621.91,7.426
4668.13,7.409999999999999
4714.81,7.38
4761.96,7.308
4809.58,7.220000000000001
4857.67,7.087999999999999
4906.25,6.947999999999999
4955.31,6.837999999999999
5004.87,6.7559999999999985
5054.91,6.69
5105.46,6.612
5156.52,6.526000000000001
5208.08,6.4079999999999995
5260.16,6.2299999999999995
5312.77,6.074
5365.89,5.894
5419.55,5.682
5473.75,5.49
5528.49,5.287999999999999
5583.77,5.06
5639.61,4.8420000000000005
5696.0,4.686
5752.96,4.54
5810.49,4.4239999999999995
5868.6,4.266
5927.28,4.140000000000001
5986.56,4.058
6046.42,3.9799999999999995
6106.89,3.886
6167.96,3.814
6229.64,3.75
6291.93,3.6420000000000003
6354.85,3.5060000000000002
6418.4,3.368
6482.58,3.2560000000000002
6547.41,3.1120000000000005
6612.88,2.982
6679.01,2.934
6745.8,2.9579999999999997
6813.26,2.966
6881.39,2.904
6950.21,2.786
7019.71,2.646
7089.91,2.5140000000000002
7160.81,2.38
7232.41,2.2800000000000002
7304.74,2.21
7377.79,2.166
7451.56,2.178
7526.08,2.254
7601.34,2.396
7677.35,2.544
7754.13,2.724
7831.67,2.93
7909.98,3.11
7989.08,3.314
8068.98,3.6080000000000005
8149.67,3.818
8231.16,4.034000000000001
8313.47,4.2219999999999995
8396.61,4.3740000000000006
8480.57,4.56
8565.38,4.676
8651.03,4.717999999999999
8737.54,4.714
8824.92,4.664
8913.17,4.5379999999999985
9002.3,4.4079999999999995
9092.32,4.264
9183.25,4.1259999999999994
9275.08,4.07
9367.83,3.9619999999999997
9461.51,3.72
9556.12,3.5040000000000004
9651.68,3.346
9748.2,3.1220000000000003
9845.68,2.722
9944.14,2.3579999999999997
10043.58,1.9340000000000004
10144.02,1.566
10245.46,1.2100000000000002
10347.91,0.6900000000000002
10451.39,0.18800000000000008
10555.91,-0.3280000000000001
10661.46,-0.868
10768.08,-1.5319999999999998
10875.76,-2.3660000000000005
10984.52,-3.732
11094.36,-5.17
11205.31,-6.05
11317.36,-5.665999999999999
11430.53,-4.904000000000001
11544.84,-4.314
11660.29,-3.8340000000000005
11776.89,-3.3520000000000003
11894.66,-2.946
12013.6,-2.966
12133.74,-2.9899999999999993
12255.08,-3.1839999999999997
12377.63,-3.12
12501.41,-3.0919999999999996
12626.42,-3.75
12752.68,-4.494000000000001
12880.21,-4.739999999999999
13009.01,-4.224
13139.1,-3.4200000000000004
13270.49,-2.7360000000000007
13403.2,-2.5300000000000002
13537.23,-2.7319999999999998
13672.6,-3.0780000000000003
13809.33,-3.464
13947.42,-3.782
14086.9,-3.964
14227.77,-4.298
14370.04,-4.73
14513.74,-5.101999999999999
14658.88,-5.553999999999999
14805.47,-6.070000000000001
14953.52,-6.56
15103.06,-7.07
15254.09,-7.616
15406.63,-7.854000000000001
15560.7,-8.203999999999999
15716.3,-8.431999999999999
15873.47,-8.894
16032.2,-9.428
16192.52,-10.422
16354.45,-11.251999999999999
16517.99,-11.473999999999998
16683.17,-11.574000000000002
16850.01,-11.751999999999999
17018.51,-11.812000000000001
17188.69,-12.026
17360.58,-12.431999999999999
17534.18,-12.876000000000001
17709.53,-13.248
17886.62,-13.315999999999999
18065.49,-13.212
18246.14,-12.95
18428.6,-12.73
18612.89,-12.524000000000001
18799.02,-12.578
18987.01,-12.922
19176.88,-13.398
19368.65,-13.745999999999999
19562.33,-14.063999999999998
19757.96,-14.564000000000002
19955.54,-15.604
